ga_response,ga_survival
198,0.84
368,0.8
530,0.99
243,0.83
351,1.0
492,0.99
347,0.81
445,0.99
879,0.63
350,1.0
1101,0.98
234,0.83
622,0.99
195,0.84
163,1.0
329,1.0
186,1.0
477,0.77
698,0.99
359,1.0
309,0.82
157,0.85
360,0.8
491,0.77
278,0.82
267,0.83
328,0.81
673,0.99
834,0.99
324,0.81
157,1.0
596,0.73
308,0.82
228,0.83
573,0.99
323,0.81
267,0.83
262,0.83
290,0.82
198,0.84
459,0.99
252,0.83
163,1.0
350,0.8
779,0.99
265,0.83
476,0.99
185,0.84
274,1.0
1351,0.44
341,0.81
253,0.83
414,1.0
198,1.0
465,0.77
191,1.0
342,1.0
1161,0.52
139,0.85
518,0.99
401,0.79
343,1.0
875,0.99
413,1.0
165,1.0
265,1.0
157,1.0
449,0.78
138,0.85
908,0.99
1231,0.49
525,0.75
723,0.69
556,0.99
209,1.0
244,0.83
436,0.78
82,0.87
163,1.0
247,1.0
190,0.84
1122,0.53
157,1.0
732,0.99
442,0.99
247,0.83
2087,0.93
339,0.81
481,0.99
557,0.74
482,0.99
1001,0.99
1628,0.96
237,1.0
1064,0.56
333,0.81
258,1.0
128,0.86
390,1.0
245,0.83
157,1.0
360,1.0
481,0.99
315,1.0
182,0.85
298,0.82
591,0.73
368,0.8
157,1.0
182,1.0
705,0.99
198,0.84
1040,0.99
167,1.0
420,0.79
138,1.0
1077,0.99
380,0.8
245,0.83
830,0.99
313,1.0
157,1.0
220,1.0
247,1.0
198,0.84
138,1.0
414,0.79
247,1.0
157,0.85
206,1.0
637,0.99
481,0.99
746,0.99
436,0.99
228,1.0
242,0.83
416,0.79
594,0.99
1498,0.38
443,0.78
361,0.8
322,1.0
637,0.99
905,0.99
534,0.75
340,0.81
525,0.75
214,1.0
416,1.0
214,0.84
450,0.78
723,0.99
250,0.83
522,0.76
256,0.83
1159,0.98
157,0.85
1000,0.58
426,0.99
294,0.82
163,0.85
591,0.99
297,0.82
1847,0.95
204,0.84
202,0.84
204,0.84
410,1.0
590,0.73
431,0.99
594,0.73
603,0.73
829,0.99
717,0.99
443,0.78
322,1.0
214,0.84
364,0.8
1379,0.98
502,0.76
371,1.0
566,0.99
1140,0.98
632,0.72
264,0.83
198,0.84
433,0.99
416,0.79
252,1.0
944,0.99
480,0.77
401,1.0
594,0.73
393,0.79
260,1.0
988,0.99
138,1.0
259,0.83
383,0.8
139,0.85
1358,0.98
157,0.85
331,0.81
289,1.0
294,0.82
410,0.79
1289,0.98
328,1.0
852,0.64
475,0.77
401,1.0
363,0.8
273,0.82
213,1.0
471,0.99
555,0.75
396,0.79
347,1.0
558,0.74
611,0.99
197,0.84
1060,0.99
294,0.82
705,0.99
400,1.0
167,0.85
463,0.99
978,0.99
322,0.81
760,0.99
434,0.78
451,0.78
713,0.69
443,0.78
653,0.99
507,0.99
314,1.0
1293,0.98
110,1.0
276,1.0
328,1.0
323,1.0
467,0.99
385,1.0
163,0.85
169,0.85
328,1.0
157,1.0
334,1.0
138,0.85
167,0.85
324,1.0
400,0.79
416,1.0
206,0.84
252,1.0
347,1.0
544,0.99
422,1.0
157,0.85
1065,0.56
82,0.87
835,0.99
290,0.82
413,1.0
278,0.82
596,0.99
424,0.78
328,1.0
243,0.83
265,1.0
220,0.84
416,1.0
252,1.0
350,0.8
908,0.99
356,0.8
331,1.0
1635,0.33
291,0.82
267,1.0
458,0.99
792,0.99
347,0.81
367,0.8
456,0.99
418,1.0
596,0.99
368,0.8
352,0.8
590,0.73
356,1.0
199,0.84
278,1.0
197,0.84
60,1.0
480,0.77
596,0.99
450,0.99
574,0.99
793,0.66
485,0.99
287,1.0
474,0.99
239,0.83
707,0.99
527,0.99
157,0.85
293,0.82
369,0.8
290,0.82
337,0.81
178,0.85
315,0.81
211,0.84
552,0.99
611,0.73
544,0.99
337,0.81
1176,0.51
707,0.69
1871,0.95
557,0.99
416,1.0
345,0.81
360,1.0
1380,0.98
265,1.0
532,0.75
364,0.8
138,1.0
557,0.99
674,0.99
157,0.85
397,1.0
440,0.99
247,1.0
258,1.0
698,0.99
247,0.83
1021,0.99
1350,0.98
1311,0.45
332,1.0
313,1.0
256,0.83
686,0.99
178,0.85
360,0.8
1798,0.27
163,1.0
365,0.8
147,0.85
571,0.99
488,0.99
635,0.99
224,0.84
133,0.86
490,0.99
313,1.0
566,0.99
1767,0.95
347,0.81
368,1.0
463,0.77
245,0.83
397,1.0
343,0.81
247,1.0
870,0.99
432,0.99
167,0.85
197,0.84
186,1.0
444,0.99
133,1.0
383,0.8
484,0.77
228,0.83
368,1.0
191,0.84
222,0.84
157,0.85
343,1.0
1373,0.98
395,1.0
594,0.73
706,0.69
185,0.84
287,0.82
247,0.83
193,1.0
441,0.99
522,0.99
340,0.81
322,0.81
389,0.79
1662,0.32
396,1.0
447,0.99
531,0.99
748,0.68
665,0.99
511,0.76
290,0.82
410,0.79
870,0.99
718,0.99
512,0.99
128,1.0
500,0.76
379,0.8
754,0.99
808,0.99
416,0.79
153,1.0
388,0.79
454,0.78
345,0.81
613,0.99
313,0.81
428,0.78
174,0.85
400,0.79
264,0.83
1202,0.98
157,1.0
489,0.99
157,0.85
178,0.85
489,0.99
248,0.83
157,0.85
202,0.84
275,1.0
685,0.99
477,0.99
265,1.0
439,0.78
1069,0.99
1847,0.25
750,0.99
157,1.0
1032,0.99
2089,0.19
266,0.83
487,0.99
1437,0.4
438,0.78
1796,0.27
376,1.0
290,0.82
2021,0.93
413,1.0
498,0.99
190,0.84
391,1.0
352,1.0
2262,0.9
195,1.0
573,0.99
157,0.85
709,0.99
437,0.99
368,0.8
749,0.99
690,0.99
531,0.75
198,1.0
236,0.83
543,0.99
686,0.7
382,0.8
1046,0.99
432,0.99
157,1.0
214,0.84
224,0.84
965,0.99
782,0.99
323,0.81
317,0.81
1494,0.97
563,0.74
252,0.83
581,0.99
241,0.83
313,0.81
685,0.99
747,0.99
424,1.0
540,0.75
855,0.99
732,0.69
323,0.81
1878,0.95
131,0.86
602,0.99
669,0.99
220,0.84
157,1.0
429,0.99
858,0.64
345,1.0
571,0.99
323,0.81
773,0.67
267,1.0
204,0.84
407,0.79
267,0.83
474,0.99
324,0.81
344,0.81
244,1.0
293,1.0
340,1.0
369,0.8
564,0.99
862,0.99
1086,0.99
1089,0.55
204,0.84
204,0.84
444,0.78
139,1.0
518,0.76
382,0.8
266,1.0
416,1.0
1045,0.56
1306,0.98
512,0.76
287,1.0
484,0.99
677,0.71
611,0.99
287,0.82
199,0.84
732,0.99
157,0.85
224,1.0
656,0.99
313,1.0
289,1.0
133,0.86
338,0.81
198,0.84
244,0.83
368,1.0
711,0.99
1113,0.54
612,0.99
477,0.77
202,1.0
328,0.81
313,0.81
416,1.0
138,0.85
393,1.0
629,0.72
317,1.0
129,1.0
337,1.0
819,0.99
313,1.0
190,0.84
442,0.78
157,1.0
204,1.0
222,1.0
157,1.0
214,0.84
489,0.99
601,0.99
287,0.82
247,1.0
247,0.83
680,0.99
198,0.84
416,1.0
512,0.99
482,0.99
788,0.99
499,0.99
302,1.0
384,1.0
341,1.0
445,0.99
309,0.82
428,0.99
157,1.0
278,0.82
407,0.79
401,1.0
352,0.8
609,0.73
247,0.83
317,1.0
190,0.84
241,0.83
767,0.99
466,0.77
254,1.0
373,1.0
639,0.99
692,0.7
469,0.77
325,0.81
324,0.81
427,0.99
202,0.84
299,1.0
309,0.82
1140,0.52
463,0.77
1268,0.47
950,0.99
1639,0.96
178,0.85
908,0.62
797,0.66
437,0.78
297,0.82
327,1.0
138,1.0
1397,0.42
545,0.99
522,0.99
60,0.87
209,0.84
389,1.0
434,0.99
443,0.78
302,0.82
578,0.74
373,1.0
209,0.84
266,1.0
737,0.99
278,0.82
337,1.0
198,1.0
311,1.0
157,1.0
390,0.79
347,0.81
659,0.99
638,0.72
506,0.99
589,0.99
144,0.85
222,1.0
590,0.99
157,0.85
217,0.84
370,0.8
317,0.81
511,0.76
181,0.85
1344,0.98
370,0.8
468,0.77
243,1.0
498,0.99
409,1.0
382,0.8
598,0.99
977,0.99
386,1.0
1879,0.95
328,0.81
361,1.0
388,0.79
157,1.0
234,1.0
840,0.99
536,0.99
295,0.82
756,0.99
157,1.0
344,0.81
157,1.0
489,0.77
590,0.73
526,0.75
1630,0.33
250,0.83
324,0.81
414,1.0
157,1.0
1169,0.51
471,0.99
655,0.99
1351,0.98
458,0.77
324,0.81
501,0.76
202,1.0
191,1.0
420,1.0
278,0.82
157,1.0
157,1.0
669,0.99
299,1.0
667,0.99
911,0.62
178,0.85
157,1.0
278,0.82
239,1.0
240,0.83
157,0.85
252,1.0
2452,0.11
456,0.78
292,0.82
157,0.85
416,1.0
339,1.0
294,1.0
313,0.81
620,0.72
250,0.83
346,0.81
157,1.0
688,0.7
360,0.8
202,1.0
396,1.0
449,0.78
389,1.0
198,1.0
384,1.0
836,0.99
504,0.99
413,1.0
498,0.99
132,1.0
590,0.73
590,0.99
264,1.0
138,1.0
411,0.79
480,0.99
214,1.0
1767,0.95
186,0.84
719,0.99
679,0.99
341,1.0
341,1.0
202,0.84
228,0.83
275,0.82
385,0.8
278,1.0
768,0.67
463,0.99
205,1.0
494,0.99
240,1.0
299,0.82
393,1.0
474,0.99
579,0.74
204,1.0
1806,0.95
810,0.99
550,0.75
673,0.71
360,0.8
401,1.0
534,0.75
393,0.79
291,0.82
190,1.0
561,0.99
142,0.85
308,1.0
133,1.0
357,0.8
443,0.78
163,0.85
416,0.79
476,0.77
464,0.77
337,0.81
323,1.0
803,0.99
326,1.0
323,0.81
232,0.83
624,0.99
564,0.99
371,0.8
1057,0.99
1871,0.25
298,1.0
414,0.79
525,0.99
265,0.83
1001,0.58
733,0.99
278,0.82
464,0.99
570,0.99
456,0.99
190,0.84
264,1.0
593,0.99
401,1.0
416,1.0
643,0.99
156,0.85
1435,0.4
368,0.8
313,1.0
264,0.83
438,0.99
157,1.0
339,0.81
366,1.0
313,1.0
802,0.99
598,0.99
1613,0.96
265,0.83
498,0.99
320,1.0
501,0.99
60,0.87
446,0.99
434,0.78
425,0.78
448,0.78
157,0.85
422,0.79
390,1.0
294,0.82
247,0.83
416,1.0
289,0.82
828,0.99
832,0.65
299,1.0
583,0.99
489,0.99
250,0.83
564,0.99
214,0.84
458,0.77
228,1.0
364,0.8
264,1.0
550,0.75
166,0.85
239,1.0
729,0.99
558,0.99
477,0.99
677,0.99
673,0.99
639,0.72
957,0.6
804,0.99
1724,0.29
424,0.78
641,0.99
360,0.8
667,0.99
724,0.99
1878,0.24
410,1.0
399,1.0
157,1.0
163,0.85
624,0.99
447,0.78
293,0.82
508,0.76
163,0.85
695,0.7
426,0.78
327,0.81
690,0.7
1125,0.98
347,1.0
2005,0.93
157,0.85
1303,0.46
374,1.0
198,0.84
434,0.78
410,1.0
665,0.71
264,0.83
281,0.82
110,0.86
1409,0.41
234,1.0
299,0.82
157,0.85
157,1.0
219,0.84
314,0.81
352,1.0
153,0.85
225,0.84
357,0.8
163,0.85
644,0.72
298,0.82
345,1.0
157,1.0
471,0.99
485,0.99
367,0.8
252,0.83
345,0.81
1166,0.98
163,1.0
142,1.0
200,0.84
1610,0.34
395,0.79
357,1.0
271,0.82
138,1.0
569,0.99
163,1.0
414,0.79
363,0.8
185,1.0
380,0.8
157,1.0
190,0.84
178,0.85
347,0.81
294,0.82
913,0.99
416,1.0
630,0.99
252,1.0
361,0.8
258,1.0
514,0.76
346,0.81
500,0.76
347,0.81
1607,0.34
575,0.74
344,0.81
722,0.99
447,0.99
501,0.76
886,0.99
313,1.0
240,0.83
222,0.84
443,0.78
245,0.83
265,0.83
297,0.82
482,0.77
346,0.81
309,0.82
138,1.0
262,0.83
161,0.85
242,0.83
265,0.83
612,0.73
60,1.0
266,0.83
139,1.0
385,0.8
556,0.99
743,0.99
441,0.78
138,0.85
431,0.99
224,0.84
631,0.99
387,0.79
690,0.99
297,0.82
339,0.81
458,0.77
132,0.86
247,0.83
333,1.0
239,1.0
202,0.84
313,1.0
264,0.83
556,0.75
383,1.0
532,0.75
392,1.0
574,0.74
314,0.81
1415,0.97
961,0.99
447,0.78
204,0.84
324,0.81
741,0.68
569,0.99
324,0.81
1358,0.43
302,1.0
1468,0.39
209,1.0
569,0.74
275,0.82
191,0.84
260,0.83
234,1.0
737,0.99
420,0.79
343,0.81
702,0.99
157,1.0
353,0.8
390,1.0
496,0.76
648,0.99
1390,0.98
553,0.75
398,1.0
167,0.85
276,0.82
760,0.99
139,1.0
702,0.99
516,0.99
531,0.99
341,1.0
791,0.66
138,0.85
247,0.83
971,0.99
157,0.85
655,0.99
1075,0.55
166,1.0
332,0.81
394,0.79
1770,0.28
2330,0.13
586,0.74
60,1.0
466,0.99
139,1.0
265,0.83
1131,0.53
167,1.0
453,0.99
631,0.72
728,0.69
1663,0.32
368,1.0
416,1.0
690,0.99
385,0.8
219,1.0
631,0.99
391,0.79
414,0.79
192,0.84
219,1.0
886,0.63
347,0.81
264,1.0
139,0.85
139,0.85
388,1.0
192,1.0
1486,0.38
363,0.8
512,0.99
163,1.0
183,0.84
314,1.0
234,1.0
512,0.76
313,1.0
385,0.8
510,0.76
309,0.82
157,1.0
247,0.83
359,0.8
344,1.0
475,0.99
138,0.85
630,0.72
1143,0.98
702,0.7
1078,0.99
818,0.99
492,0.99
491,0.77
308,0.82
389,1.0
366,0.8
2389,0.88
224,0.84
60,0.87
153,0.85
333,0.81
328,1.0
157,0.85
219,1.0
309,1.0
620,0.72
157,1.0
157,1.0
139,0.85
138,0.85
256,1.0
341,0.81
440,0.99
495,0.76
163,1.0
157,0.85
512,0.76
163,0.85
157,1.0
392,0.79
1916,0.23
632,0.99
265,1.0
153,1.0
328,1.0
416,0.79
929,0.99
124,0.86
913,0.99
1650,0.32
157,1.0
322,0.81
484,0.77
529,0.99
487,0.77
459,0.77
163,0.85
454,0.99
163,1.0
157,0.85
176,0.85
342,0.81
1600,0.34
163,0.85
157,1.0
163,0.85
461,0.99
1743,0.96
308,1.0
60,1.0
254,0.83
352,1.0
276,1.0
756,0.99
204,1.0
252,1.0
264,0.83
2137,0.92
661,0.99
379,0.8
157,1.0
390,1.0
556,0.99
360,0.8
157,1.0
477,0.77
498,0.99
1395,0.98
157,0.85
157,1.0
412,1.0
157,1.0
416,1.0
317,1.0
157,1.0
190,1.0
1523,0.97
314,0.81
998,0.58
157,0.85
2323,0.89
548,0.75
852,0.99
423,0.78
1045,0.56
157,1.0
220,0.84
259,0.83
278,0.82
157,1.0
648,0.99
157,1.0
533,0.75
416,1.0
790,0.66
341,0.81
287,0.82
323,1.0
583,0.99
157,0.85
1009,0.99
714,0.99
155,1.0
612,0.73
458,0.99
412,1.0
1347,0.98
247,1.0
178,0.85
313,1.0
313,1.0
1288,0.46
466,0.99
747,0.99
163,0.85
278,1.0
195,1.0
178,0.85
345,0.81
416,1.0
416,1.0
294,1.0
691,0.99
1460,0.97
339,0.81
405,1.0
410,0.79
157,0.85
214,0.84
242,0.83
442,0.99
337,1.0
313,1.0
323,0.81
646,0.72
323,0.81
419,1.0
518,0.99
412,1.0
313,1.0
399,0.79
482,0.77
546,0.99
287,0.82
598,0.99
256,1.0
313,1.0
202,0.84
217,0.84
308,1.0
596,0.99
274,1.0
355,0.8
247,0.83
214,1.0
315,0.81
459,0.99
342,1.0
314,1.0
584,0.74
256,0.83
265,0.83
447,0.99
191,0.84
287,1.0
434,0.99
688,0.7
157,1.0
185,0.84
777,0.99
508,0.99
321,1.0
1224,0.98
198,0.84
773,0.99
910,0.99
514,0.76
472,0.99
443,0.99
401,0.79
440,0.99
867,0.99
313,0.81
673,0.71
542,0.75
875,0.63
387,0.79
345,0.81
500,0.99
157,0.85
298,1.0
498,0.76
648,0.99
265,0.83
612,0.73
157,0.85
110,1.0
287,1.0
324,0.81
139,1.0
852,0.99
321,0.81
138,0.85
438,0.99
199,0.84
406,1.0
242,0.83
195,1.0
297,0.82
416,0.79
276,1.0
315,1.0
410,1.0
1207,0.5
366,0.8
1201,0.98
294,0.82
265,0.83
600,0.99
273,1.0
364,1.0
198,0.84
163,0.85
611,0.73
363,1.0
384,1.0
138,1.0
574,0.74
157,1.0
247,1.0
949,0.99
267,0.83
224,0.84
247,0.83
416,1.0
191,1.0
267,1.0
317,0.81
481,0.99
720,0.69
411,0.79
352,1.0
512,0.99
157,0.85
169,1.0
1395,0.42
468,0.99
416,1.0
256,0.83
683,0.7
947,0.99
560,0.99
692,0.7
406,1.0
1066,0.99
157,1.0
157,1.0
734,0.68
338,0.81
345,1.0
583,0.74
157,0.85
157,0.85
293,0.82
307,1.0
732,0.99
198,1.0
286,0.82
185,1.0
396,1.0
1494,0.38
993,0.59
978,0.99
669,0.71
648,0.99
157,1.0
598,0.73
323,1.0
978,0.99
267,0.83
392,1.0
433,0.99
402,0.79
163,1.0
416,1.0
718,0.99
528,0.75
236,1.0
157,0.85
84,0.87
1213,0.49
563,0.99
300,0.82
292,0.82
157,0.85
304,0.82
157,0.85
499,0.99
186,0.84
1765,0.28
654,0.71
3193,0.03
782,0.99
138,0.85
734,0.99
157,1.0
341,1.0
244,1.0
633,0.99
368,1.0
644,0.99
1794,0.95
313,1.0
157,1.0
339,1.0
157,1.0
256,0.83
366,0.8
270,0.82
638,0.99
640,0.99
156,1.0
60,1.0
773,0.99
895,0.99
157,1.0
157,1.0
357,1.0
157,1.0
139,0.85
965,0.99
309,1.0
411,1.0
630,0.99
661,0.99
498,0.76
400,1.0
359,0.8
198,0.84
228,0.83
157,1.0
388,1.0
572,0.99
596,0.73
400,1.0
494,0.99
138,0.85
241,1.0
723,0.99
613,0.73
1702,0.96
84,1.0
138,0.85
240,0.83
157,1.0
295,0.82
313,0.81
773,0.99
785,0.99
572,0.99
202,0.84
462,0.77
422,0.79
519,0.99
677,0.99
445,0.99
313,1.0
764,0.67
276,1.0
1235,0.49
1462,0.39
377,1.0
202,0.84
1237,0.48
561,0.99
827,0.99
1122,0.98
398,1.0
710,0.69
525,0.75
631,0.99
402,0.79
1624,0.33
407,0.79
315,1.0
1584,0.97
1847,0.95
265,0.83
301,1.0
517,0.99
754,0.68
313,0.81
171,0.85
383,1.0
580,0.99
338,0.81
1073,0.55
416,0.79
157,1.0
297,1.0
202,1.0
350,0.8
374,0.8
445,0.78
411,0.79
481,0.77
313,1.0
905,0.62
1114,0.98
1484,0.38
838,0.65
198,0.84
1850,0.95
977,0.99
692,0.7
