ga_response,ga_survival
289,0.82
157,1.0
368,0.8
292,0.82
351,1.0
345,1.0
853,0.99
347,0.81
879,0.63
346,1.0
979,0.99
234,0.83
124,1.0
195,0.84
163,1.0
1012,0.99
186,1.0
512,0.76
698,0.99
571,0.99
309,0.82
157,0.85
360,0.8
491,0.77
278,0.82
267,0.83
328,0.81
436,0.99
673,0.99
324,0.81
157,1.0
596,0.73
308,0.82
228,0.83
245,1.0
323,0.81
139,0.85
214,0.84
290,0.82
198,0.84
459,0.99
202,0.84
163,1.0
350,0.8
977,0.99
265,0.83
287,1.0
185,0.84
274,1.0
1351,0.44
341,0.81
253,0.83
414,1.0
245,0.83
198,1.0
342,1.0
1161,0.52
139,0.85
488,0.99
401,0.79
343,1.0
247,1.0
1526,0.97
413,1.0
176,1.0
157,1.0
700,0.99
363,0.8
138,0.85
908,0.99
404,0.79
1231,0.49
342,1.0
723,0.69
344,1.0
244,0.83
436,0.78
82,0.87
163,1.0
347,1.0
190,0.84
508,0.99
1122,0.53
157,1.0
442,0.99
247,0.83
2267,0.9
481,0.99
557,0.74
1051,0.56
1001,0.99
1628,0.96
741,0.99
237,1.0
1064,0.56
333,0.81
258,1.0
269,1.0
128,0.86
508,0.76
157,1.0
481,0.99
648,0.99
1010,0.99
360,0.8
298,0.82
218,0.84
368,0.8
416,1.0
182,1.0
337,1.0
416,1.0
198,0.84
167,1.0
420,0.79
1077,0.99
425,0.99
380,0.8
245,0.83
157,1.0
830,0.99
220,1.0
347,1.0
198,0.84
416,1.0
138,1.0
414,0.79
347,1.0
464,0.99
157,0.85
206,1.0
481,0.99
869,0.99
436,0.99
565,0.99
242,0.83
416,0.79
553,0.99
1498,0.38
443,0.78
361,0.8
322,1.0
745,0.99
637,0.99
534,0.75
340,0.81
214,1.0
327,0.81
829,0.65
573,0.74
723,0.99
250,0.83
522,0.76
1170,0.98
256,0.83
1159,0.98
416,0.79
474,0.77
294,0.82
913,0.99
163,0.85
591,0.99
324,0.81
1847,0.95
204,0.84
252,0.83
204,0.84
368,1.0
433,0.78
313,1.0
596,0.73
548,0.99
603,0.73
810,0.99
190,0.84
214,0.84
266,0.83
832,0.99
1407,0.97
502,0.76
371,1.0
410,1.0
345,0.81
1140,0.98
264,0.83
184,0.84
394,1.0
432,0.78
422,1.0
944,0.99
480,0.77
367,1.0
596,0.73
350,0.8
266,1.0
1077,0.99
138,1.0
259,0.83
383,0.8
139,0.85
1431,0.97
