ga_response,ga_survival
289,0.82
157,1.0
368,0.8
292,0.82
351,1.0
347,0.81
878,0.99
824,0.99
879,0.63
643,0.99
916,0.99
234,0.83
906,0.99
195,0.84
163,1.0
1121,0.98
186,1.0
477,0.77
793,0.99
309,0.82
827,0.99
157,0.85
360,0.8
491,0.77
278,0.82
267,0.83
328,0.81
461,0.99
834,0.99
324,0.81
157,1.0
596,0.73
308,0.82
228,0.83
573,0.99
323,0.81
139,0.85
214,0.84
290,0.82
198,0.84
459,0.99
202,0.84
350,0.8
522,0.99
977,0.99
265,0.83
476,0.99
185,0.84
274,1.0
1351,0.44
341,0.81
253,0.83
414,1.0
465,0.77
547,0.99
342,1.0
191,1.0
1161,0.52
139,0.85
401,0.79
247,1.0
1526,0.97
747,0.99
413,1.0
165,1.0
157,1.0
700,0.99
449,0.78
740,0.99
138,0.85
1231,0.49
525,0.75
342,1.0
723,0.69
428,0.99
244,0.83
436,0.78
82,0.87
163,1.0
247,1.0
443,0.78
1122,0.53
607,0.99
157,1.0
442,0.99
247,0.83
2154,0.92
339,0.81
531,0.99
557,0.74
482,0.99
1001,0.99
1628,0.96
1064,0.56
332,1.0
258,1.0
368,0.8
128,0.86
390,1.0
245,0.83
157,1.0
278,1.0
360,1.0
182,0.85
622,0.99
298,0.82
218,0.84
475,0.77
416,1.0
182,1.0
652,0.99
705,0.99
198,0.84
167,1.0
420,0.79
988,0.99
380,0.8
528,0.99
707,0.99
245,0.83
432,0.99
157,1.0
220,1.0
347,1.0
289,0.82
138,1.0
414,0.79
347,1.0
206,0.84
637,0.99
367,1.0
481,0.99
746,0.99
436,0.99
228,1.0
242,0.83
416,0.79
563,0.99
1498,0.38
443,0.78
361,0.8
412,1.0
493,0.99
905,0.99
534,0.75
340,0.81
525,0.75
214,1.0
262,0.83
489,0.77
723,0.99
250,0.83
522,0.76
1170,0.98
256,0.83
1159,0.98
416,0.79
828,0.65
426,0.99
534,0.75
163,0.85
591,0.99
297,0.82
1847,0.95
204,0.84
202,0.84
157,1.0
204,0.84
590,0.73
416,1.0
674,0.71
443,0.99
603,0.73
957,0.99
443,0.78
322,1.0
214,0.84
260,0.83
264,1.0
502,0.76
371,1.0
324,0.81
2012,0.93
1140,0.98
166,0.85
198,0.84
433,0.99
416,0.79
416,1.0
944,0.99
480,0.77
157,1.0
594,0.73
342,0.81
260,1.0
988,0.99
138,1.0
259,0.83
383,0.8
139,0.85
1247,0.98
157,0.85
