timestamp,urgency,pop_prop_response,pop_prop_survival
2017-08-07T00:00:21,H,61,1.0
2017-08-07T00:22:12,H,258,1.0
2017-08-07T00:12:47,A,209,0.84
2017-08-07T00:21:43,A,182,0.85
2017-08-07T00:48,H,278,1.0
2017-08-07T00:42:13,A,619,0.72
2017-08-07T00:56:41,H,251,1.0
2017-08-07T01:13:12,H,520,0.99
2017-08-07T01:15:58,A,178,0.85
2017-08-07T02:19:08,H,241,1.0
2017-08-07T02:29:24,H,293,1.0
2017-08-07T02:27:45,A,400,0.79
2017-08-07T03:24:55,H,300,1.0
2017-08-07T03:48:38,A,288,0.82
2017-08-07T03:50:24,A,58,0.87
2017-08-07T04:23,A,80,0.87
2017-08-07T04:15:26,A,84,0.87
2017-08-07T04:59:45,H,782,0.99
2017-08-07T04:56:51,H,720,0.99
2017-08-07T04:58:48,A,433,0.78
2017-08-07T05:31:17,H,61,1.0
2017-08-07T06:25:33,A,160,0.85
2017-08-07T06:20:11,A,242,0.83
2017-08-07T06:32:29,H,455,0.99
2017-08-07T07:01:28,A,126,0.86
2017-08-07T06:32:29,H,541,0.99
2017-08-07T07:07:50,H,381,1.0
2017-08-07T07:05:44,A,372,0.8
2017-08-07T07:16:41,H,527,0.99
2017-08-07T07:54:46,A,148,0.85
2017-08-07T07:20:13,A,268,0.83
2017-08-07T07:31:48,H,103,1.0
2017-08-07T07:50:35,A,1019,0.57
2017-08-07T08:10:10,H,236,1.0
2017-08-07T08:07:55,A,211,0.84
2017-08-07T08:02:56,A,986,0.59
2017-08-07T08:40:09,A,118,0.86
2017-08-07T08:47:12,H,207,1.0
2017-08-07T08:30:21,A,256,0.83
2017-08-07T08:45:43,A,488,0.77
2017-08-07T09:04:17,H,336,1.0
2017-08-07T09:05:56,H,1149,0.98
2017-08-07T09:11:21,A,180,0.85
2017-08-07T09:35,H,126,1.0
2017-08-07T08:57:16,H,276,1.0
2017-08-07T09:33:43,A,84,0.87
2017-08-07T09:16:26,H,389,1.0
2017-08-07T09:47:54,H,182,1.0
2017-08-07T09:34:50,A,310,0.82
2017-08-07T09:43:30,H,211,1.0
2017-08-07T10:04:36,H,61,1.0
2017-08-07T09:50:12,H,364,1.0
2017-08-07T09:44:50,A,1216,0.49
2017-08-07T09:39:46,H,258,1.0
2017-08-07T09:57:35,H,256,1.0
2017-08-07T09:51:25,A,393,0.79
2017-08-07T09:41:56,A,789,0.66
2017-08-07T10:21:27,H,247,1.0
2017-08-07T10:01:07,H,157,1.0
2017-08-07T10:12:55,A,181,0.85
2017-08-07T09:57:35,H,601,0.99
2017-08-07T10:31:24,H,410,1.0
2017-08-07T10:47:37,H,182,1.0
2017-08-07T10:49:12,A,22,0.88
2017-08-07T10:43:08,H,103,1.0
2017-08-07T10:33:20,A,185,0.84
2017-08-07T10:28:43,A,1675,0.31
2017-08-07T11:19:46,H,355,1.0
2017-08-07T10:58:32,A,123,0.86
2017-08-07T11:16:58,H,1544,0.97
2017-08-07T11:28:34,H,1035,0.99
2017-08-07T10:52:31,H,2280,0.9
2017-08-07T11:11:28,A,405,0.79
2017-08-07T11:37:04,A,841,0.65
2017-08-07T11:50:47,H,165,1.0
2017-08-07T11:44:51,H,338,1.0
2017-08-07T11:52:06,H,412,1.0
2017-08-07T11:42:20,A,68,0.87
2017-08-07T11:53:16,A,297,0.82
2017-08-07T11:50:49,H,383,1.0
2017-08-07T12:11:49,H,527,0.99
2017-08-07T12:02:34,A,855,0.64
2017-08-07T12:18:31,H,288,1.0
2017-08-07T12:17:45,H,61,1.0
2017-08-07T12:33:28,A,101,0.86
2017-08-07T12:42:19,A,292,0.82
2017-08-07T12:21:41,A,430,0.78
2017-08-07T12:49:41,A,144,0.85
2017-08-07T12:20:21,H,398,1.0
2017-08-07T12:23:57,H,511,0.99
2017-08-07T13:11:42,H,61,1.0
2017-08-07T13:04:33,H,393,1.0
2017-08-07T13:04:41,H,101,1.0
2017-08-07T13:04:26,A,126,0.86
2017-08-07T13:26:29,H,364,1.0
2017-08-07T13:10:54,A,369,0.8
2017-08-07T13:23:44,A,266,0.83
2017-08-07T13:31:33,H,664,0.99
2017-08-07T13:35,H,104,1.0
2017-08-07T13:38:19,A,558,0.74
2017-08-07T13:57:37,H,61,1.0
2017-08-07T13:31:43,H,165,1.0
2017-08-07T14:00:31,H,58,1.0
2017-08-07T13:52:24,A,325,0.81
2017-08-07T13:26:39,A,126,0.86
2017-08-07T14:16:24,H,61,1.0
2017-08-07T14:00,H,278,1.0
2017-08-07T14:20:40,H,182,1.0
2017-08-07T14:27:02,H,391,1.0
2017-08-07T14:26:47,H,300,1.0
2017-08-07T14:37:24,A,61,0.87
2017-08-07T14:37:42,H,277,1.0
2017-08-07T14:52:09,H,311,1.0
2017-08-07T14:53:03,A,297,0.82
2017-08-07T14:49:36,A,160,0.85
2017-08-07T14:56:01,A,123,0.86
2017-08-07T15:34:02,A,300,0.82
2017-08-07T15:18:53,H,511,0.99
2017-08-07T15:43:07,H,276,1.0
2017-08-07T14:40:48,H,150,1.0
2017-08-07T15:33:47,A,208,0.84
2017-08-07T15:38:21,A,251,0.83
2017-08-07T15:59:09,H,278,1.0
2017-08-07T15:40:20,H,867,0.99
2017-08-07T16:08:18,A,182,0.85
2017-08-07T15:59:49,A,476,0.77
2017-08-07T15:56:14,A,156,0.85
2017-08-07T16:06:18,H,275,1.0
2017-08-07T15:59:58,A,61,0.87
2017-08-07T16:17:03,A,167,0.85
2017-08-07T16:22:11,A,61,0.87
2017-08-07T15:44:55,H,156,1.0
2017-08-07T16:20:24,A,406,0.79
2017-08-07T16:37:58,H,302,1.0
2017-08-07T16:31:59,H,1503,0.97
2017-08-07T16:48:36,A,278,0.82
2017-08-07T16:48:02,A,536,0.75
2017-08-07T16:58:42,A,156,0.85
2017-08-07T17:05:18,A,454,0.78
2017-08-07T17:13:21,A,409,0.79
2017-08-07T17:08:35,A,148,0.85
2017-08-07T17:11:28,H,321,1.0
2017-08-07T17:07:18,H,859,0.99
2017-08-07T17:32:30,H,61,1.0
2017-08-07T17:10:30,A,538,0.75
2017-08-07T17:41:12,H,61,1.0
2017-08-07T17:33:14,A,123,0.86
2017-08-07T17:39:40,A,156,0.85
2017-08-07T17:18:47,A,343,0.81
2017-08-07T17:45:28,H,61,1.0
2017-08-07T17:25:43,H,388,1.0
2017-08-07T17:39:41,A,126,0.86
2017-08-07T17:28:15,H,1216,0.98
2017-08-07T17:33:26,A,521,0.76
2017-08-07T17:58:54,A,268,0.83
2017-08-07T17:49:52,H,806,0.99
2017-08-07T18:08:46,H,280,1.0
2017-08-07T18:40,H,61,1.0
2017-08-07T18:29:54,A,188,0.84
2017-08-07T18:27:21,H,101,1.0
2017-08-07T18:04:35,A,194,0.84
2017-08-07T18:15:54,H,1329,0.98
2017-08-07T18:33:52,H,841,0.99
2017-08-07T19:00:31,H,61,1.0
2017-08-07T18:53:53,H,1086,0.99
2017-08-07T18:32:38,A,398,0.79
2017-08-07T18:25:03,A,848,0.64
2017-08-07T19:07:22,H,126,1.0
2017-08-07T19:27:51,H,920,0.99
2017-08-07T19:20:23,H,103,1.0
2017-08-07T20:04:16,A,61,0.87
2017-08-07T19:32:03,A,265,0.83
2017-08-07T19:27:25,H,463,0.99
2017-08-07T20:01:37,A,415,0.79
2017-08-07T18:15:54,H,1145,0.98
2017-08-07T20:18:05,H,230,1.0
2017-08-07T19:47:38,A,1327,0.45
2017-08-07T20:13:12,H,971,0.99
2017-08-07T20:08:28,A,116,0.86
2017-08-07T20:47:10,H,257,1.0
2017-08-07T21:18:46,A,104,0.86
2017-08-07T21:21:30,H,61,1.0
2017-08-07T21:14:09,H,315,1.0
2017-08-07T21:20:35,H,579,0.99
2017-08-07T21:12:55,H,410,1.0
2017-08-07T21:19:45,A,0,0.88
2017-08-07T21:32:20,A,123,0.86
2017-08-07T22:01:30,A,269,0.83
2017-08-07T21:25:26,A,413,0.79
2017-08-07T18:15:54,H,1702,0.96
2017-08-07T21:33:16,A,608,0.73
2017-08-07T21:47:08,H,455,0.99
2017-08-07T22:04:55,H,782,0.99
2017-08-07T22:08:19,H,248,1.0
2017-08-07T22:33:50,H,80,1.0
2017-08-07T22:42:17,H,258,1.0
2017-08-07T23:09:24,H,312,1.0
2017-08-07T23:18:24,H,920,0.99
2017-08-07T23:28:17,H,61,1.0
2017-08-07T23:34:25,A,104,0.86
2017-08-07T23:28:31,H,148,1.0
2017-08-07T23:41:56,A,58,0.87
2017-08-07T23:35:38,A,61,0.87
2017-08-07T23:53:07,H,495,0.99
2017-08-08T00:03:40,H,277,1.0
2017-08-08T00:13:54,H,148,1.0
2017-08-07T23:53:52,A,156,0.85
2017-08-08T00:50:47,H,495,0.99
2017-08-08T00:46:43,H,133,1.0
