ga_response,ga_survival
198,0.84
368,0.8
511,0.99
286,0.82
351,1.0
492,0.99
345,1.0
347,0.81
879,0.63
346,1.0
1101,0.98
234,0.83
124,1.0
195,0.84
163,1.0
329,1.0
186,1.0
477,0.77
677,0.99
359,1.0
309,0.82
157,0.85
360,0.8
491,0.77
278,0.82
267,0.83
328,0.81
673,0.99
834,0.99
324,0.81
157,1.0
596,0.73
308,0.82
228,0.83
245,1.0
323,0.81
139,0.85
214,0.84
290,0.82
198,0.84
459,0.99
202,0.84
350,0.8
522,0.99
779,0.99
265,0.83
476,0.99
185,0.84
1351,0.44
608,0.99
341,0.81
253,0.83
517,0.99
245,0.83
600,0.99
342,1.0
300,1.0
1161,0.52
139,0.85
518,0.99
401,0.79
343,1.0
247,1.0
413,1.0
157,1.0
314,1.0
700,0.99
363,0.8
740,0.99
138,0.85
1231,0.49
507,0.76
342,1.0
723,0.69
545,0.99
244,0.83
436,0.78
82,0.87
163,1.0
247,1.0
190,0.84
1122,0.53
157,1.0
732,0.99
442,0.99
247,0.83
2116,0.92
153,1.0
339,0.81
481,0.99
538,0.75
482,0.99
1001,0.99
237,1.0
1064,0.56
368,0.8
128,0.86
390,1.0
245,0.83
851,0.99
157,1.0
574,0.99
481,0.99
182,0.85
648,0.99
298,0.82
218,0.84
368,0.8
206,1.0
182,1.0
337,1.0
416,1.0
198,0.84
167,1.0
420,0.79
138,1.0
1077,0.99
380,0.8
245,0.83
157,1.0
830,0.99
157,1.0
220,1.0
247,1.0
198,0.84
414,0.79
464,0.99
737,0.99
206,0.84
551,0.99
626,0.99
862,0.99
1006,0.99
436,0.99
228,1.0
242,0.83
416,0.79
190,0.84
569,0.99
1566,0.35
361,0.8
216,1.0
345,1.0
343,1.0
534,0.75
340,0.81
214,1.0
333,1.0
416,1.0
214,0.84
776,0.67
489,0.77
250,0.83
522,0.76
256,0.83
1159,0.98
416,0.79
801,0.66
426,0.99
534,0.75
591,0.99
242,0.83
324,0.81
1847,0.95
229,0.83
202,0.84
157,1.0
204,0.84
433,0.78
416,1.0
674,0.71
443,0.99
603,0.73
957,0.99
405,0.79
214,0.84
491,0.77
704,0.99
157,1.0
264,1.0
502,0.76
345,0.81
2012,0.93
1140,0.98
321,0.81
184,0.84
418,1.0
599,0.73
157,1.0
944,0.99
480,0.77
313,1.0
596,0.73
342,0.81
266,1.0
1077,0.99
259,0.83
583,0.99
383,0.8
139,0.85
1247,0.98
157,0.85
331,0.81
289,1.0
294,0.82
410,0.79
1289,0.98
328,1.0
503,0.76
475,0.77
478,0.99
363,0.8
157,0.85
214,1.0
440,0.99
555,0.75
396,0.79
504,0.99
611,0.99
197,0.84
823,0.99
1259,0.48
294,0.82
463,0.99
157,1.0
400,1.0
167,0.85
321,1.0
760,0.99
322,0.81
434,0.78
466,0.77
463,0.77
190,0.84
236,1.0
653,0.99
507,0.99
862,0.99
110,1.0
276,1.0
328,1.0
323,1.0
467,0.99
375,1.0
157,0.85
270,0.82
328,1.0
273,1.0
202,1.0
138,0.85
204,0.84
171,1.0
167,0.85
324,1.0
256,0.83
487,0.99
356,1.0
544,0.99
422,1.0
157,0.85
1065,0.56
82,0.87
835,0.99
290,0.82
475,0.99
278,0.82
596,0.99
424,0.78
328,1.0
243,0.83
265,1.0
220,0.84
416,1.0
202,1.0
350,0.8
908,0.99
356,0.8
331,1.0
1635,0.33
291,0.82
139,1.0
458,0.99
792,0.99
347,0.81
365,0.8
456,0.99
214,1.0
898,0.99
333,0.81
339,0.81
590,0.73
356,1.0
199,0.84
278,1.0
197,0.84
60,1.0
480,0.77
596,0.99
450,0.99
84,0.87
576,0.99
485,0.99
287,1.0
186,1.0
266,1.0
239,0.83
344,1.0
157,0.85
293,0.82
369,0.8
290,0.82
337,0.81
178,0.85
315,0.81
211,0.84
494,0.99
611,0.73
581,0.99
337,0.81
1176,0.51
707,0.69
1871,0.95
343,1.0
624,0.99
517,0.99
345,0.81
360,1.0
265,1.0
532,0.75
364,0.8
138,1.0
586,0.99
643,0.99
157,0.85
163,1.0
397,1.0
247,1.0
258,1.0
698,0.99
925,0.99
247,0.83
1431,0.97
157,1.0
1311,0.45
732,0.69
588,0.99
256,0.83
686,0.99
178,0.85
360,0.8
163,1.0
325,0.81
147,0.85
571,0.99
462,0.99
632,0.99
224,0.84
133,0.86
490,0.99
313,1.0
484,0.99
157,1.0
1767,0.95
446,0.78
132,0.86
245,0.83
397,1.0
343,0.81
247,1.0
536,0.99
432,0.99
167,0.85
197,0.84
219,1.0
444,0.99
133,1.0
383,0.8
228,0.83
157,1.0
484,0.77
176,0.85
191,0.84
157,0.85
343,1.0
1373,0.98
395,1.0
594,0.73
706,0.69
185,0.84
287,0.82
247,0.83
193,1.0
650,0.99
801,0.99
340,0.81
377,0.8
389,0.79
1662,0.32
396,1.0
447,0.99
499,0.99
748,0.68
665,0.99
511,0.76
290,0.82
464,0.99
410,0.79
870,0.99
832,0.99
128,1.0
602,0.73
379,0.8
754,0.99
808,0.99
416,0.79
153,1.0
388,0.79
454,0.78
324,0.81
157,0.85
428,0.78
796,0.99
400,0.79
264,0.83
455,0.78
1202,0.98
489,0.99
157,0.85
157,1.0
178,0.85
701,0.99
248,0.83
157,0.85
202,0.84
522,0.99
613,0.99
552,0.99
1017,0.99
439,0.78
1847,0.25
476,0.99
750,0.99
297,1.0
651,0.99
2089,0.19
266,0.83
487,0.99
1437,0.4
438,0.78
1796,0.27
376,1.0
290,0.82
2021,0.93
413,1.0
455,0.99
128,1.0
577,0.74
352,1.0
2262,0.9
195,1.0
573,0.99
585,0.99
416,0.79
333,0.81
863,0.99
749,0.99
690,0.99
531,0.75
236,0.83
413,1.0
543,0.99
686,0.7
382,0.8
157,1.0
1146,0.98
252,1.0
214,0.84
376,0.8
914,0.99
782,0.99
265,0.83
428,0.78
1494,0.97
563,0.74
202,0.84
241,0.83
157,0.85
922,0.99
314,1.0
328,1.0
764,0.99
540,0.75
630,0.99
732,0.69
323,0.81
1878,0.95
131,0.86
686,0.99
508,0.99
220,0.84
157,1.0
429,0.99
858,0.64
345,1.0
571,0.99
323,0.81
773,0.67
396,1.0
204,0.84
407,0.79
139,0.85
474,0.99
324,0.81
209,0.84
244,1.0
293,1.0
323,1.0
369,0.8
564,0.99
862,0.99
1086,0.99
1089,0.55
229,0.83
204,0.84
322,0.81
267,1.0
294,0.82
382,0.8
266,1.0
416,1.0
1045,0.56
1335,0.98
512,0.76
287,1.0
322,1.0
677,0.71
611,0.99
287,0.82
199,0.84
732,0.99
157,0.85
224,1.0
656,0.99
313,1.0
133,0.86
437,0.99
338,0.81
198,0.84
244,0.83
157,1.0
711,0.99
1113,0.54
612,0.99
477,0.77
202,1.0
157,1.0
157,0.85
328,0.81
138,0.85
393,1.0
629,0.72
317,1.0
129,1.0
370,1.0
157,1.0
337,1.0
190,0.84
442,0.78
157,1.0
204,1.0
222,1.0
157,1.0
214,0.84
489,0.99
484,0.99
287,0.82
366,1.0
247,0.83
680,0.99
198,0.84
157,1.0
512,0.99
482,0.99
499,0.99
1098,0.98
245,1.0
432,0.99
341,1.0
309,0.82
445,0.99
359,1.0
313,1.0
626,0.72
407,0.79
401,1.0
352,0.8
609,0.73
247,0.83
317,1.0
190,0.84
498,0.99
241,0.83
466,0.77
254,1.0
373,1.0
639,0.99
692,0.7
469,0.77
325,0.81
324,0.81
432,0.99
202,0.84
299,1.0
309,0.82
132,0.86
393,1.0
1140,0.52
878,0.63
1778,0.95
226,0.84
908,0.62
600,0.73
437,0.78
297,0.82
327,1.0
138,1.0
1397,0.42
602,0.99
277,1.0
60,0.87
163,1.0
209,0.84
434,0.99
443,0.78
302,0.82
596,0.73
373,1.0
209,0.84
266,1.0
737,0.99
278,0.82
337,1.0
413,1.0
311,1.0
157,1.0
390,0.79
368,0.8
426,0.78
659,0.99
589,0.99
144,0.85
560,0.99
222,1.0
590,0.99
157,0.85
217,0.84
411,0.79
317,0.81
511,0.76
181,0.85
1344,0.98
370,0.8
468,0.77
243,1.0
498,0.99
409,1.0
871,0.99
382,0.8
598,0.99
977,0.99
60,1.0
975,0.99
328,0.81
345,0.81
287,1.0
157,1.0
234,1.0
840,0.99
295,0.82
754,0.99
157,1.0
209,0.84
157,1.0
489,0.77
590,0.73
526,0.75
1630,0.33
250,0.83
324,0.81
384,1.0
416,1.0
1169,0.51
262,1.0
702,0.99
1351,0.98
458,0.77
324,0.81
501,0.76
334,1.0
191,1.0
420,1.0
278,0.82
157,1.0
157,1.0
669,0.99
299,1.0
667,0.99
911,0.62
178,0.85
416,1.0
278,0.82
239,1.0
240,0.83
157,0.85
334,1.0
2452,0.11
454,0.78
292,0.82
157,0.85
352,1.0
294,1.0
910,0.99
313,0.81
620,0.72
250,0.83
346,0.81
157,1.0
688,0.7
360,0.8
263,1.0
202,1.0
449,0.78
421,1.0
343,1.0
198,1.0
384,1.0
413,1.0
743,0.99
720,0.99
132,1.0
590,0.73
590,0.99
138,1.0
872,0.99
411,0.79
480,0.99
214,1.0
1767,0.95
186,0.84
465,0.99
719,0.99
700,0.99
202,0.84
357,0.8
292,0.82
908,0.99
385,0.8
626,0.99
768,0.67
474,0.99
205,1.0
686,0.99
240,1.0
393,1.0
555,0.75
474,0.99
407,1.0
586,0.74
229,1.0
1806,0.95
550,0.75
673,0.71
360,0.8
275,0.82
462,0.99
393,0.79
190,1.0
536,0.75
142,0.85
758,0.99
308,1.0
133,1.0
300,0.82
60,0.87
163,0.85
416,0.79
464,0.77
559,0.74
337,0.81
323,1.0
132,1.0
803,0.99
326,1.0
250,0.83
340,0.81
371,0.8
928,0.99
1057,0.99
1871,0.25
298,1.0
414,0.79
525,0.99
265,0.83
1001,0.58
733,0.99
242,1.0
278,0.82
315,1.0
456,0.99
157,1.0
593,0.99
321,1.0
690,0.7
737,0.99
156,0.85
1449,0.4
688,0.99
313,0.81
723,0.99
264,0.83
438,0.99
368,1.0
163,1.0
339,0.81
270,1.0
313,1.0
583,0.99
1276,0.98
273,0.82
498,0.99
372,1.0
501,0.99
446,0.99
434,0.78
321,0.81
360,0.8
448,0.78
157,0.85
422,0.79
479,0.99
294,0.82
247,0.83
416,1.0
157,1.0
437,0.78
828,0.99
822,0.65
583,0.99
558,0.99
250,0.83
214,0.84
645,0.99
148,1.0
424,0.78
364,0.8
264,1.0
216,1.0
550,0.75
239,1.0
260,0.83
1025,0.99
668,0.99
793,0.99
410,1.0
639,0.72
1005,0.58
601,0.99
1724,0.29
420,0.79
641,0.99
182,0.85
315,1.0
338,1.0
1878,0.24
321,1.0
399,1.0
163,0.85
416,1.0
447,0.78
636,0.99
293,0.82
482,0.77
163,0.85
695,0.7
426,0.78
327,0.81
190,0.84
1125,0.98
289,1.0
2005,0.93
157,0.85
1303,0.46
374,1.0
198,0.84
410,1.0
434,0.78
665,0.71
264,0.83
110,0.86
281,0.82
1409,0.41
416,1.0
157,0.85
500,0.76
186,0.84
624,0.99
314,0.81
352,1.0
153,0.85
393,0.79
163,0.85
454,0.78
644,0.72
298,0.82
382,1.0
273,1.0
418,1.0
590,0.73
1801,0.95
202,0.84
345,0.81
1166,0.98
163,1.0
142,1.0
200,0.84
1610,0.34
395,0.79
350,1.0
271,0.82
138,1.0
569,0.99
163,1.0
414,0.79
363,0.8
185,1.0
380,0.8
157,1.0
190,0.84
178,0.85
247,0.83
763,0.99
294,0.82
416,1.0
630,0.99
334,1.0
361,0.8
258,1.0
514,0.76
346,0.81
500,0.76
347,0.81
1607,0.34
575,0.74
209,0.84
447,0.99
995,0.99
501,0.76
412,1.0
368,1.0
240,0.83
222,0.84
443,0.78
245,0.83
265,0.83
297,0.82
482,0.77
677,0.71
309,0.82
262,0.83
411,0.79
242,0.83
735,0.99
265,0.83
247,1.0
612,0.73
318,0.81
139,1.0
385,0.8
464,0.99
468,0.77
138,0.85
994,0.99
445,0.99
367,1.0
224,0.84
294,0.82
638,0.99
286,0.82
339,0.81
499,0.76
60,0.87
188,0.84
333,1.0
157,1.0
239,1.0
202,0.84
264,0.83
383,1.0
532,0.75
831,0.65
392,1.0
574,0.74
314,0.81
404,1.0
1415,0.97
561,0.74
229,0.83
393,0.79
769,0.67
569,0.99
324,0.81
1415,0.41
416,1.0
1468,0.39
209,1.0
569,0.74
191,0.84
518,0.76
217,1.0
491,0.77
737,0.99
432,0.99
420,0.79
343,0.81
273,1.0
502,0.76
390,1.0
496,0.76
648,0.99
1390,0.98
163,1.0
553,0.75
167,0.85
224,1.0
276,0.82
139,1.0
810,0.99
516,0.99
814,0.99
341,1.0
138,0.85
247,0.83
977,0.99
1360,0.43
157,0.85
454,0.99
1075,0.55
166,1.0
201,0.84
410,0.79
1770,0.28
2330,0.13
343,0.81
157,1.0
139,1.0
139,1.0
265,0.83
167,1.0
1406,0.41
1554,0.36
453,0.99
631,0.72
728,0.69
157,1.0
190,1.0
157,1.0
385,0.8
219,1.0
713,0.99
391,0.79
414,0.79
192,0.84
219,1.0
886,0.63
247,0.83
264,1.0
139,0.85
197,0.84
388,1.0
188,1.0
1486,0.38
359,0.8
163,1.0
1033,0.99
313,0.81
314,1.0
512,0.76
738,0.99
321,1.0
475,0.77
385,0.8
309,0.82
157,1.0
163,0.85
247,0.83
157,1.0
191,1.0
344,1.0
299,0.82
138,0.85
702,0.7
1078,0.99
462,0.99
401,1.0
491,0.77
396,0.79
389,1.0
314,0.81
1866,0.95
224,0.84
157,0.85
153,0.85
328,1.0
157,0.85
620,0.72
219,1.0
309,1.0
620,0.72
176,1.0
416,1.0
457,0.78
157,1.0
341,0.81
440,0.99
495,0.76
738,0.68
512,0.76
163,0.85
363,1.0
664,0.71
392,0.79
1916,0.23
632,0.99
265,1.0
153,1.0
416,1.0
328,1.0
789,0.99
124,0.86
913,0.99
1017,0.58
1650,0.32
183,1.0
322,0.81
510,0.76
631,0.99
487,0.77
163,0.85
512,0.76
454,0.99
163,1.0
157,0.85
176,0.85
342,0.81
1970,0.22
163,0.85
157,1.0
163,0.85
378,1.0
1462,0.97
308,1.0
60,1.0
254,0.83
226,1.0
352,1.0
756,0.99
204,1.0
579,0.99
264,0.83
2137,0.92
661,0.99
379,0.8
313,1.0
390,1.0
556,0.99
360,0.8
157,1.0
477,0.77
498,0.99
1252,0.98
157,0.85
157,1.0
503,0.99
416,1.0
416,1.0
317,1.0
157,1.0
190,1.0
1523,0.97
314,0.81
998,0.58
157,0.85
2009,0.93
548,0.75
423,0.78
1045,0.56
540,0.99
157,1.0
220,0.84
259,0.83
261,0.83
416,1.0
648,0.99
157,1.0
495,0.76
273,1.0
790,0.66
341,0.81
287,0.82
419,1.0
583,0.99
157,0.85
1009,0.99
155,1.0
714,0.99
612,0.73
458,0.99
412,1.0
1347,0.98
247,1.0
178,0.85
313,1.0
313,1.0
1288,0.46
665,0.99
466,0.99
163,0.85
278,1.0
195,1.0
178,0.85
345,0.81
157,1.0
313,1.0
294,1.0
691,0.99
1460,0.97
352,0.8
191,1.0
468,0.77
157,0.85
214,0.84
163,0.85
442,0.99
337,1.0
297,1.0
394,0.79
646,0.72
323,0.81
419,1.0
518,0.99
412,1.0
313,1.0
412,0.79
286,1.0
482,0.77
665,0.71
598,0.99
256,1.0
368,1.0
236,1.0
202,0.84
217,0.84
308,1.0
355,0.8
608,0.99
247,0.83
214,1.0
459,0.99
667,0.71
342,1.0
343,0.81
314,1.0
271,0.82
265,0.83
447,0.99
191,0.84
287,1.0
434,0.99
688,0.7
157,1.0
185,0.84
777,0.99
508,0.99
264,1.0
725,0.99
198,0.84
773,0.99
910,0.99
514,0.76
472,0.99
443,0.99
401,0.79
440,0.99
867,0.99
157,0.85
673,0.71
542,0.75
875,0.63
1071,0.55
345,0.81
245,1.0
157,0.85
298,1.0
498,0.76
648,0.99
265,0.83
612,0.73
157,0.85
110,1.0
287,1.0
324,0.81
346,1.0
139,1.0
321,0.81
138,0.85
438,0.99
199,0.84
406,1.0
242,0.83
195,1.0
297,0.82
416,0.79
315,1.0
195,1.0
436,0.99
410,1.0
1207,0.5
324,0.81
280,0.82
265,0.83
600,0.99
273,1.0
364,1.0
198,0.84
352,0.8
60,1.0
359,0.8
384,1.0
138,1.0
574,0.74
256,1.0
253,1.0
247,1.0
267,0.83
224,0.84
247,0.83
416,1.0
191,1.0
267,1.0
317,0.81
481,0.99
720,0.69
411,0.79
352,1.0
512,0.99
1247,0.48
157,0.85
169,1.0
468,0.99
416,1.0
683,0.7
450,0.78
947,0.99
560,0.99
692,0.7
406,1.0
157,1.0
157,1.0
2112,0.92
734,0.68
338,0.81
583,0.74
416,0.79
986,0.99
60,0.87
293,0.82
307,1.0
732,0.99
198,1.0
243,0.83
185,1.0
396,1.0
1494,0.38
993,0.59
978,0.99
669,0.71
648,0.99
157,1.0
598,0.73
323,1.0
978,0.99
178,1.0
267,0.83
433,0.99
402,0.79
163,1.0
416,1.0
718,0.99
528,0.75
236,1.0
84,0.87
313,0.81
1213,0.49
563,0.99
300,0.82
292,0.82
313,0.81
204,0.84
157,0.85
499,0.99
186,0.84
1765,0.28
654,0.71
3193,0.03
138,0.85
1127,0.98
734,0.99
341,1.0
368,1.0
244,1.0
633,0.99
644,0.99
1986,0.94
313,1.0
829,0.99
157,1.0
339,1.0
157,1.0
256,0.83
220,0.84
553,0.75
638,0.99
640,0.99
157,1.0
60,1.0
773,0.99
895,0.99
157,1.0
416,1.0
357,1.0
314,1.0
157,1.0
139,0.85
309,1.0
411,1.0
669,0.99
661,0.99
498,0.76
204,1.0
359,0.8
198,0.84
228,0.83
388,1.0
416,1.0
518,0.99
596,0.73
400,1.0
138,0.85
333,1.0
686,0.99
241,1.0
327,0.81
1702,0.96
84,1.0
138,0.85
240,0.83
295,0.82
368,1.0
157,0.85
773,0.99
625,0.99
921,0.99
202,0.84
174,0.85
462,0.77
519,0.99
464,0.99
677,0.99
368,1.0
977,0.59
764,0.67
276,1.0
1462,0.39
322,1.0
202,0.84
333,1.0
1335,0.44
758,0.99
1122,0.98
163,1.0
704,0.7
490,0.77
631,0.99
402,0.79
1624,0.33
200,0.84
315,1.0
1838,0.95
1847,0.95
301,1.0
265,0.83
517,0.99
809,0.66
157,0.85
171,0.85
234,1.0
383,1.0
338,0.81
1073,0.55
416,0.79
313,1.0
313,1.0
202,1.0
361,0.8
445,0.78
489,0.77
411,0.79
481,0.77
313,1.0
905,0.62
901,0.99
420,0.79
1568,0.35
198,0.84
1942,0.94
977,0.99
692,0.7
