ga_response,ga_survival
307,0.82
416,0.79
416,1.0
286,0.82
351,1.0
533,0.99
347,0.81
493,0.99
879,0.63
346,1.0
979,0.99
234,0.83
124,1.0
195,0.84
363,1.0
329,1.0
219,1.0
477,0.77
852,0.99
309,0.82
580,0.99
157,0.85
360,0.8
138,0.85
278,0.82
139,0.85
328,0.81
673,0.99
834,0.99
406,0.79
313,1.0
596,0.73
308,0.82
693,0.7
245,1.0
323,0.81
139,0.85
214,0.84
290,0.82
289,0.82
459,0.99
202,0.84
350,0.8
522,0.99
977,0.99
265,0.83
287,1.0
185,0.84
274,1.0
1351,0.44
341,0.81
253,0.83
414,1.0
245,0.83
198,1.0
342,1.0
1161,0.52
139,0.85
488,0.99
518,0.99
401,0.79
343,1.0
599,0.99
413,1.0
165,1.0
157,1.0
366,1.0
363,0.8
138,0.85
830,0.99
1231,0.49
525,0.75
342,1.0
723,0.69
374,1.0
244,0.83
436,0.78
82,0.87
163,1.0
247,1.0
190,0.84
508,0.99
1122,0.53
442,0.99
247,0.83
2142,0.92
664,0.99
339,0.81
481,0.99
557,0.74
1510,0.97
1001,0.99
741,0.99
237,1.0
1064,0.56
258,1.0
368,0.8
269,1.0
128,0.86
245,0.83
157,1.0
425,0.99
481,0.99
648,0.99
360,0.8
298,0.82
218,0.84
368,0.8
416,1.0
182,1.0
337,1.0
416,1.0
198,0.84
420,0.79
988,0.99
138,1.0
812,0.99
380,0.8
245,0.83
157,1.0
830,0.99
220,1.0
347,1.0
198,0.84
529,0.99
414,0.79
324,1.0
347,1.0
737,0.99
206,0.84
361,1.0
481,0.99
626,0.99
436,0.99
228,1.0
242,0.83
416,0.79
190,0.84
596,0.99
1498,0.38
361,0.8
304,1.0
343,1.0
345,1.0
534,0.75
340,0.81
416,1.0
262,1.0
214,0.84
715,0.69
489,0.77
723,0.99
250,0.83
522,0.76
256,0.83
1159,0.98
416,0.79
476,0.77
426,0.99
515,0.76
591,0.99
303,0.82
363,0.8
1847,0.95
229,0.83
252,0.83
204,0.84
368,1.0
590,0.73
416,1.0
431,0.99
674,0.71
603,0.73
546,0.99
190,0.84
262,0.83
260,0.83
917,0.99
1407,0.97
502,0.76
264,1.0
489,0.99
366,0.8
1140,0.98
264,0.83
184,0.84
239,1.0
599,0.73
944,0.99
480,0.77
157,1.0
818,0.99
596,0.73
273,0.82
988,0.99
138,1.0
639,0.99
259,0.83
383,0.8
267,0.83
1431,0.97
198,1.0
331,0.81
368,0.8
256,0.83
410,0.79
1221,0.98
328,1.0
503,0.76
475,0.77
359,1.0
363,0.8
214,1.0
313,0.81
440,0.99
555,0.75
553,0.75
264,1.0
551,0.99
558,0.74
611,0.99
567,0.74
132,1.0
442,0.78
157,1.0
167,0.85
700,0.99
783,0.99
726,0.99
444,0.78
434,0.78
463,0.77
713,0.69
236,1.0
653,0.99
833,0.65
507,0.99
314,1.0
110,1.0
276,1.0
328,1.0
341,1.0
467,0.99
385,1.0
325,0.81
363,0.8
523,0.99
313,1.0
334,1.0
138,0.85
229,0.83
167,0.85
490,0.99
416,1.0
256,0.83
252,1.0
247,1.0
544,0.99
422,1.0
313,0.81
1065,0.56
504,0.76
1033,0.99
290,0.82
413,1.0
278,0.82
596,0.99
166,1.0
424,0.78
243,0.83
265,1.0
220,0.84
416,1.0
202,1.0
350,0.8
908,0.99
356,0.8
1635,0.33
497,0.99
556,0.75
396,1.0
458,0.99
287,1.0
247,0.83
365,0.8
456,0.99
214,1.0
596,0.99
333,0.81
339,0.81
590,0.73
356,1.0
199,0.84
278,1.0
197,0.84
60,1.0
480,0.77
594,0.99
573,0.99
84,0.87
360,1.0
220,1.0
287,1.0
186,1.0
266,1.0
239,0.83
293,1.0
157,0.85
293,0.82
369,0.8
290,0.82
178,0.85
315,0.81
337,0.81
211,0.84
552,0.99
193,1.0
611,0.73
337,0.81
1176,0.51
707,0.69
1871,0.95
586,0.99
285,1.0
345,0.81
360,1.0
366,1.0
1865,0.95
532,0.75
364,0.8
138,1.0
586,0.99
643,0.99
157,0.85
397,1.0
258,1.0
347,1.0
909,0.99
360,1.0
834,0.99
247,0.83
1212,0.98
1311,0.45
345,1.0
732,0.69
504,0.99
256,0.83
691,0.99
178,0.85
252,0.83
163,1.0
326,0.81
147,0.85
571,0.99
462,0.99
269,1.0
224,0.84
133,0.86
319,1.0
368,1.0
927,0.99
416,0.79
416,1.0
2142,0.92
606,0.73
236,1.0
245,0.83
343,0.81
410,1.0
234,1.0
817,0.99
167,0.85
435,0.78
186,1.0
322,1.0
133,1.0
383,0.8
228,0.83
157,1.0
444,0.78
186,0.84
191,0.84
157,0.85
332,1.0
1196,0.98
395,1.0
609,0.73
706,0.69
185,0.84
453,0.78
356,0.8
193,1.0
441,0.99
522,0.99
340,0.81
322,0.81
389,0.79
1662,0.32
267,1.0
287,1.0
455,0.99
650,0.99
748,0.68
511,0.76
290,0.82
410,0.79
883,0.99
637,0.99
512,0.99
602,0.73
379,0.8
754,0.99
808,0.99
641,0.99
153,1.0
587,0.74
388,0.79
447,0.78
345,0.81
157,0.85
613,0.99
466,0.77
174,0.85
400,0.79
264,0.83
1202,0.98
157,1.0
450,0.99
157,0.85
447,0.99
178,0.85
248,0.83
157,0.85
202,0.84
565,0.99
685,0.99
637,0.99
265,1.0
439,0.78
910,0.99
750,0.99
1847,0.25
313,1.0
1032,0.99
2089,0.19
266,0.83
1437,0.4
1050,0.99
438,0.78
1614,0.33
376,1.0
290,0.82
289,1.0
2021,0.93
406,1.0
190,0.84
128,1.0
1910,0.94
195,1.0
402,1.0
1067,0.99
157,0.85
709,0.99
611,0.99
287,1.0
333,0.81
220,1.0
531,0.75
289,1.0
236,0.83
543,0.99
686,0.7
382,0.8
313,1.0
1206,0.98
157,1.0
477,0.99
214,0.84
224,0.84
416,1.0
323,0.81
265,0.83
1494,0.97
563,0.74
202,0.84
574,0.99
241,0.83
157,0.85
254,1.0
674,0.99
878,0.99
540,0.75
732,0.69
855,0.99
341,0.81
1878,0.95
131,0.86
602,0.99
669,0.99
220,0.84
313,1.0
429,0.99
858,0.64
717,0.99
287,1.0
323,0.81
773,0.67
139,1.0
204,0.84
407,0.79
139,0.85
474,0.99
324,0.81
209,0.84
244,1.0
293,1.0
341,1.0
369,0.8
564,0.99
862,0.99
1086,0.99
1089,0.55
204,0.84
204,0.84
322,0.81
267,1.0
294,0.82
266,1.0
584,0.74
416,1.0
1045,0.56
1306,0.98
512,0.76
581,0.99
444,0.99
677,0.71
611,0.99
287,0.82
561,0.99
199,0.84
157,0.85
224,1.0
553,0.99
157,1.0
347,1.0
133,0.86
338,0.81
198,0.84
244,0.83
157,1.0
437,0.99
1113,0.54
612,0.99
656,0.71
461,0.99
328,0.81
416,1.0
368,0.8
138,0.85
252,1.0
629,0.72
265,1.0
129,1.0
423,1.0
337,1.0
313,1.0
190,0.84
515,0.76
157,1.0
222,1.0
157,1.0
568,0.99
262,0.83
325,1.0
601,0.99
287,0.82
247,1.0
680,0.99
347,0.81
198,0.84
325,1.0
512,0.99
482,0.99
499,0.99
1098,0.98
347,1.0
265,1.0
553,0.99
309,1.0
285,0.82
359,1.0
157,1.0
278,0.82
163,1.0
407,0.79
352,0.8
609,0.73
347,0.81
317,1.0
554,0.99
190,0.84
241,0.83
466,0.77
373,1.0
639,0.99
314,1.0
692,0.7
469,0.77
325,0.81
234,1.0
324,0.81
252,0.83
299,1.0
309,0.82
132,0.86
393,1.0
1140,0.52
933,0.61
1639,0.96
178,0.85
908,0.62
600,0.73
437,0.78
308,0.82
327,1.0
498,0.99
1397,0.42
548,0.99
359,1.0
60,0.87
163,1.0
209,0.84
243,1.0
443,0.78
347,0.81
596,0.73
373,1.0
266,1.0
344,0.81
737,0.99
278,0.82
337,1.0
289,1.0
311,1.0
313,1.0
390,0.79
368,0.8
426,0.78
659,0.99
481,0.99
144,0.85
560,0.99
222,1.0
157,0.85
1011,0.99
217,0.84
411,0.79
785,0.67
511,0.76
1344,0.98
512,0.76
370,0.8
468,0.77
292,1.0
498,0.99
409,1.0
265,1.0
871,0.99
382,0.8
598,0.99
386,1.0
231,1.0
328,0.81
515,0.99
414,0.79
313,1.0
482,0.99
551,0.99
499,0.99
515,0.76
529,0.99
209,0.84
157,1.0
504,0.76
590,0.73
526,0.75
1630,0.33
250,0.83
345,0.81
464,0.99
449,0.78
715,0.99
214,1.0
702,0.99
1351,0.98
458,0.77
414,0.79
501,0.76
202,1.0
191,1.0
707,0.99
278,0.82
313,1.0
313,1.0
669,0.99
299,1.0
828,0.99
911,0.62
178,0.85
313,1.0
278,0.82
239,1.0
240,0.83
157,0.85
334,1.0
2452,0.11
454,0.78
157,0.85
598,0.73
416,1.0
352,1.0
294,1.0
157,0.85
620,0.72
250,0.83
346,0.81
157,1.0
688,0.7
360,0.8
263,1.0
252,1.0
449,0.78
648,0.99
527,0.99
198,1.0
445,0.99
504,0.99
413,1.0
720,0.99
590,0.73
491,0.99
590,0.99
264,1.0
138,1.0
411,0.79
485,0.99
291,1.0
245,1.0
262,1.0
1767,0.95
186,0.84
695,0.99
252,0.83
228,0.83
567,0.99
275,0.82
385,0.8
626,0.99
768,0.67
463,0.99
205,1.0
686,0.99
240,1.0
555,0.75
767,0.99
463,0.99
407,1.0
564,0.74
204,1.0
1806,0.95
550,0.75
673,0.71
360,0.8
157,1.0
275,0.82
393,0.79
291,0.82
237,1.0
561,0.99
142,0.85
308,1.0
133,1.0
60,0.87
443,0.78
163,0.85
416,0.79
476,0.77
464,0.77
652,0.71
323,1.0
582,0.99
326,1.0
250,0.83
463,0.99
340,0.81
711,0.99
371,0.8
1057,0.99
1871,0.25
298,1.0
414,0.79
290,1.0
265,0.83
1001,0.58
798,0.99
366,1.0
278,0.82
456,0.99
741,0.99
190,0.84
157,1.0
264,1.0
593,0.99
401,1.0
677,0.99
254,0.83
1554,0.36
416,0.79
723,0.99
264,0.83
438,0.99
157,1.0
415,1.0
157,1.0
339,0.81
542,0.99
574,0.99
1313,0.98
265,0.83
498,0.99
320,1.0
234,1.0
388,1.0
264,0.83
434,0.78
287,0.82
448,0.78
169,0.85
422,0.79
479,0.99
294,0.82
416,1.0
347,0.81
368,1.0
413,0.79
828,0.99
822,0.65
