ga_response,ga_survival
289,0.82
325,1.0
416,0.79
243,0.83
351,1.0
533,0.99
247,0.83
429,0.99
879,0.63
400,1.0
979,0.99
234,0.83
124,1.0
195,0.84
363,1.0
1012,0.99
219,1.0
512,0.76
677,0.99
571,0.99
309,0.82
157,0.85
360,0.8
491,0.77
278,0.82
139,0.85
328,0.81
673,0.99
834,0.99
406,0.79
313,1.0
596,0.73
308,0.82
228,0.83
573,0.99
323,0.81
139,0.85
214,0.84
290,0.82
289,0.82
459,0.99
202,0.84
363,1.0
350,0.8
977,0.99
265,0.83
287,1.0
185,0.84
274,1.0
1351,0.44
341,0.81
253,0.83
414,1.0
245,0.83
289,1.0
342,1.0
1161,0.52
139,0.85
488,0.99
518,0.99
401,0.79
343,1.0
247,1.0
413,1.0
210,1.0
157,1.0
366,1.0
363,0.8
740,0.99
138,0.85
381,0.8
1231,0.49
342,1.0
723,0.69
545,0.99
244,0.83
436,0.78
82,0.87
163,1.0
247,1.0
190,0.84
508,0.99
1122,0.53
442,0.99
247,0.83
2154,0.92
832,0.99
153,1.0
339,0.81
481,0.99
557,0.74
1001,0.99
741,0.99
237,1.0
1064,0.56
333,0.81
258,1.0
269,1.0
128,0.86
245,0.83
360,1.0
368,1.0
481,0.99
648,0.99
360,0.8
298,0.82
218,0.84
368,0.8
368,1.0
337,1.0
310,1.0
416,1.0
198,0.84
420,0.79
138,1.0
1077,0.99
812,0.99
380,0.8
245,0.83
157,1.0
1235,0.98
220,1.0
347,1.0
368,1.0
198,0.84
414,0.79
207,1.0
491,0.99
347,1.0
157,0.85
361,1.0
462,0.99
481,0.99
228,1.0
645,0.99
242,0.83
416,0.79
190,0.84
1498,0.38
700,0.99
361,0.8
517,0.99
343,1.0
324,1.0
534,0.75
297,0.82
340,0.81
416,1.0
262,1.0
214,0.84
489,0.77
723,0.99
250,0.83
522,0.76
256,0.83
1159,0.98
157,0.85
476,0.77
550,0.99
515,0.76
591,0.99
297,0.82
363,0.8
1847,0.95
229,0.83
252,0.83
204,0.84
433,0.78
829,0.99
407,1.0
416,1.0
674,0.71
603,0.73
567,0.99
190,0.84
214,0.84
484,0.99
318,0.81
502,0.76
264,1.0
1446,0.97
489,0.99
345,0.81
1140,0.98
264,0.83
184,0.84
433,0.99
541,0.75
416,1.0
944,0.99
485,0.77
410,1.0
553,0.75
273,0.82
266,1.0
1077,0.99
138,1.0
259,0.83
383,0.8
139,0.85
1358,0.98
157,0.85
331,0.81
289,1.0
256,0.83
410,0.79
1289,0.98
503,0.76
563,0.74
163,1.0
978,0.99
363,0.8
262,1.0
313,0.81
213,1.0
555,0.75
396,0.79
504,0.99
264,1.0
558,0.74
611,0.99
197,0.84
442,0.78
624,0.99
157,1.0
400,1.0
167,0.85
783,0.99
726,0.99
322,0.81
434,0.78
463,0.77
713,0.69
561,0.99
833,0.65
669,0.99
805,0.99
314,1.0
110,1.0
276,1.0
341,1.0
978,0.99
583,0.99
599,0.99
157,0.85
270,0.82
523,0.99
313,1.0
202,1.0
229,0.83
167,0.85
735,0.68
490,0.99
401,1.0
206,0.84
279,1.0
247,1.0
193,1.0
422,1.0
313,0.81
1065,0.56
82,0.87
1033,0.99
290,0.82
413,1.0
278,0.82
596,0.99
166,1.0
424,0.78
243,0.83
265,1.0
220,0.84
313,1.0
202,1.0
350,0.8
908,0.99
356,0.8
1635,0.33
497,0.99
139,1.0
556,0.75
347,1.0
792,0.99
247,0.83
365,0.8
456,0.99
214,1.0
596,0.99
333,0.81
339,0.81
590,0.73
356,1.0
199,0.84
197,0.84
382,1.0
60,1.0
480,0.77
796,0.99
710,0.99
84,0.87
576,0.99
314,1.0
186,1.0
266,1.0
394,1.0
344,1.0
157,0.85
293,0.82
889,0.63
369,0.8
290,0.82
178,0.85
315,0.81
337,0.81
211,0.84
552,0.99
193,1.0
611,0.73
1176,0.51
652,0.71
707,0.69
1871,0.95
364,1.0
343,1.0
501,0.99
345,0.81
360,1.0
265,1.0
532,0.75
383,0.8
343,1.0
138,1.0
698,0.99
157,0.85
163,1.0
476,0.99
247,1.0
258,1.0
360,1.0
583,0.74
1431,0.97
1125,0.98
157,1.0
1311,0.45
475,0.99
732,0.69
552,0.99
256,0.83
178,0.85
360,0.8
163,1.0
325,0.81
147,0.85
325,1.0
462,0.99
298,1.0
224,0.84
133,0.86
489,0.99
566,0.99
882,0.99
157,1.0
1767,0.95
416,0.79
463,0.77
245,0.83
432,0.99
343,0.81
369,1.0
868,0.99
432,0.99
167,0.85
435,0.78
219,1.0
444,0.99
133,1.0
383,0.8
322,0.81
357,0.8
368,1.0
186,0.84
191,0.84
157,0.85
399,1.0
1373,0.98
395,1.0
594,0.73
706,0.69
185,0.84
184,0.84
247,0.83
193,1.0
163,1.0
888,0.99
60,0.87
340,0.81
389,0.79
1662,0.32
362,1.0
447,0.99
369,1.0
571,0.99
748,0.68
511,0.76
324,1.0
290,0.82
410,0.79
1371,0.98
181,1.0
128,1.0
602,0.73
379,0.8
754,0.99
808,0.99
416,0.79
153,1.0
388,0.79
454,0.78
324,0.81
327,1.0
157,0.85
428,0.78
174,0.85
400,0.79
264,0.83
1202,0.98
450,0.99
157,0.85
818,0.99
178,0.85
489,0.99
248,0.83
157,0.85
202,0.84
518,0.99
247,0.83
637,0.99
1847,0.25
906,0.99
132,1.0
1143,0.98
476,0.99
313,1.0
2089,0.19
1946,0.94
264,0.83
1437,0.4
719,0.99
1268,0.47
438,0.78
237,0.83
625,0.99
572,0.99
437,0.99
498,0.99
2290,0.9
190,0.84
128,1.0
352,1.0
364,1.0
402,1.0
367,1.0
157,0.85
611,0.99
333,0.81
551,0.99
629,0.99
531,0.75
264,0.83
286,1.0
674,0.99
1018,0.58
382,0.8
313,1.0
1206,0.98
157,1.0
512,0.99
214,0.84
224,0.84
432,0.99
323,0.81
265,0.83
1494,0.97
596,0.73
202,0.84
157,0.85
702,0.99
425,0.78
254,1.0
674,0.99
878,0.99
540,0.75
732,0.69
902,0.99
341,0.81
1878,0.95
131,0.86
602,0.99
669,0.99
220,0.84
313,1.0
839,0.99
858,0.64
345,1.0
571,0.99
323,0.81
773,0.67
139,1.0
204,0.84
407,0.79
139,0.85
397,1.0
345,0.81
209,0.84
244,1.0
293,1.0
306,1.0
739,0.99
369,0.8
564,0.99
1086,0.99
1089,0.55
204,0.84
204,0.84
444,0.78
139,1.0
294,0.82
266,1.0
584,0.74
313,1.0
1045,0.56
1335,0.98
512,0.76
287,1.0
346,0.81
484,0.99
611,0.99
561,0.99
199,0.84
536,0.75
157,0.85
224,1.0
239,1.0
347,1.0
133,0.86
410,1.0
338,0.81
289,0.82
244,0.83
564,0.99
368,1.0
1113,0.54
612,0.99
477,0.77
252,1.0
157,1.0
157,0.85
328,0.81
138,0.85
252,1.0
265,1.0
129,1.0
943,0.61
595,0.99
206,1.0
337,1.0
190,0.84
442,0.78
204,1.0
410,1.0
222,1.0
157,1.0
262,0.83
424,1.0
491,0.99
184,0.84
247,1.0
247,0.83
680,0.99
198,0.84
416,1.0
715,0.99
788,0.99
499,0.99
1021,0.99
245,1.0
347,1.0
801,0.99
461,0.99
309,0.82
359,1.0
157,1.0
278,0.82
163,1.0
368,0.8
352,0.8
609,0.73
247,0.83
317,1.0
350,1.0
190,0.84
241,0.83
466,0.77
687,0.99
406,1.0
901,0.99
692,0.7
469,0.77
325,0.81
324,0.81
427,0.99
202,0.84
299,1.0
309,0.82
132,0.86
1140,0.52
1268,0.47
950,0.99
1639,0.96
226,0.84
908,0.62
600,0.73
437,0.78
297,0.82
327,1.0
498,0.99
1397,0.42
602,0.99
163,1.0
60,0.87
209,0.84
398,1.0
434,0.99
443,0.78
373,0.8
578,0.74
209,0.84
685,0.99
266,1.0
737,0.99
278,0.82
652,0.99
289,1.0
311,1.0
313,1.0
390,0.79
347,0.81
426,0.78
659,0.99
252,1.0
481,0.99
144,0.85
222,1.0
157,0.85
1011,0.99
217,0.84
411,0.79
317,0.81
511,0.76
181,0.85
1344,0.98
298,0.82
468,0.77
292,1.0
498,0.99
409,1.0
871,0.99
382,0.8
598,0.99
386,1.0
1379,0.98
231,1.0
328,0.81
345,0.81
287,1.0
234,1.0
840,0.99
416,1.0
295,0.82
499,0.99
313,1.0
209,0.84
82,0.87
313,1.0
590,0.73
526,0.75
1630,0.33
250,0.83
324,0.81
464,0.99
449,0.78
157,1.0
214,1.0
702,0.99
1351,0.98
458,0.77
324,0.81
501,0.76
202,1.0
405,1.0
603,0.99
278,0.82
529,0.99
313,1.0
790,0.99
440,0.99
828,0.99
911,0.62
178,0.85
313,1.0
278,0.82
239,1.0
240,0.83
157,0.85
202,1.0
2452,0.11
454,0.78
292,0.82
157,0.85
339,1.0
294,1.0
818,0.99
60,0.87
620,0.72
250,0.83
346,0.81
157,1.0
688,0.7
360,0.8
147,1.0
373,1.0
713,0.69
421,1.0
198,1.0
82,1.0
665,0.99
513,0.99
400,1.0
406,1.0
132,1.0
590,0.73
1011,0.99
138,1.0
872,0.99
411,0.79
485,0.99
245,1.0
262,1.0
1767,0.95
186,0.84
564,0.99
202,0.84
740,0.99
228,0.83
740,0.99
275,0.82
388,0.79
385,1.0
768,0.67
600,0.99
686,0.99
240,1.0
299,0.82
357,1.0
953,0.99
60,1.0
407,1.0
416,0.79
204,1.0
1806,0.95
550,0.75
673,0.71
360,0.8
157,1.0
275,0.82
393,0.79
291,0.82
237,1.0
561,0.99
142,0.85
396,1.0
133,1.0
361,0.8
443,0.78
159,0.85
163,0.85
416,0.79
476,0.77
337,0.81
323,1.0
60,1.0
803,0.99
326,1.0
323,0.81
340,0.81
371,0.8
1055,0.99
1057,0.99
1871,0.25
298,1.0
414,0.79
290,1.0
525,0.99
265,0.83
1001,0.58
345,1.0
278,0.82
315,1.0
456,0.99
190,0.84
593,0.99
416,1.0
346,1.0
401,1.0
819,0.99
1435,0.4
389,0.79
157,0.85
157,1.0
321,0.81
438,0.99
410,1.0
415,1.0
157,1.0
339,0.81
543,0.99
583,0.99
1276,0.98
273,0.82
498,0.99
372,1.0
501,0.99
340,1.0
264,0.83
434,0.78
360,0.8
448,0.78
169,0.85
422,0.79
479,0.99
294,0.82
247,0.83
416,1.0
157,1.0
387,0.79
828,0.99
822,0.65
299,1.0
583,0.99
250,0.83
214,0.84
645,0.99
392,0.79
148,1.0
364,0.8
264,1.0
216,1.0
550,0.75
239,1.0
265,0.83
240,1.0
376,1.0
477,0.99
444,0.99
639,0.72
917,0.62
510,0.99
218,1.0
1724,0.29
424,0.78
182,0.85
315,1.0
552,0.99
1878,0.24
321,1.0
399,1.0
157,1.0
163,0.85
340,1.0
447,0.78
293,0.82
463,0.77
695,0.7
426,0.78
363,0.8
327,0.81
190,0.84
1125,0.98
1630,0.96
289,1.0
157,0.85
1303,0.46
374,1.0
198,0.84
434,0.78
566,0.99
665,0.71
321,0.81
281,0.82
110,0.86
1409,0.41
234,1.0
157,0.85
500,0.76
818,0.99
219,0.84
314,0.81
352,1.0
153,0.85
219,0.84
393,0.79
