ga_response,ga_survival
198,0.84
169,1.0
252,0.83
286,0.82
351,1.0
388,1.0
247,0.83
345,1.0
879,0.63
388,1.0
979,0.99
124,1.0
427,0.78
195,0.84
163,1.0
329,1.0
186,1.0
477,0.77
852,0.99
571,0.99
309,0.82
157,0.85
360,0.8
491,0.77
278,0.82
139,0.85
328,0.81
673,0.99
406,0.79
1047,0.99
313,1.0
596,0.73
308,0.82
228,0.83
573,0.99
323,0.81
139,0.85
214,0.84
290,0.82
198,0.84
459,0.99
202,0.84
363,1.0
350,0.8
977,0.99
265,0.83
476,0.99
185,0.84
274,1.0
1351,0.44
341,0.81
253,0.83
414,1.0
245,0.83
413,1.0
342,1.0
1161,0.52
443,0.99
139,0.85
401,0.79
343,1.0
247,1.0
1526,0.97
413,1.0
165,1.0
157,1.0
615,0.99
363,0.8
736,0.99
138,0.85
1231,0.49
525,0.75
342,1.0
723,0.69
374,1.0
244,0.83
436,0.78
82,0.87
163,1.0
347,1.0
190,0.84
1122,0.53
732,0.99
442,0.99
247,0.83
2154,0.92
664,0.99
339,0.81
481,0.99
557,0.74
1603,0.97
1001,0.99
741,0.99
954,0.6
237,1.0
333,0.81
258,1.0
128,0.86
390,1.0
245,0.83
157,1.0
425,0.99
481,0.99
182,0.85
648,0.99
298,0.82
218,0.84
368,0.8
474,0.99
337,1.0
416,1.0
401,1.0
198,0.84
167,1.0
420,0.79
988,0.99
138,1.0
380,0.8
245,0.83
157,1.0
830,0.99
220,1.0
347,1.0
198,0.84
416,1.0
414,0.79
347,1.0
464,0.99
157,0.85
789,0.99
481,0.99
599,0.99
686,0.99
436,0.99
228,1.0
242,0.83
416,0.79
190,0.84
674,0.99
1498,0.38
361,0.8
304,1.0
466,0.99
345,1.0
534,0.75
340,0.81
262,1.0
214,0.84
715,0.69
508,0.76
723,0.99
250,0.83
522,0.76
1170,0.98
232,0.83
1159,0.98
416,0.79
617,0.73
296,1.0
515,0.76
163,0.85
591,0.99
324,0.81
1847,0.95
229,0.83
252,0.83
204,0.84
529,0.99
590,0.73
416,1.0
674,0.71
603,0.73
848,0.99
688,0.99
571,0.74
262,0.83
708,0.99
260,0.83
1379,0.98
502,0.76
264,1.0
489,0.99
324,0.81
1140,0.98
264,0.83
184,0.84
239,1.0
416,0.79
944,0.99
480,0.77
715,0.99
183,1.0
596,0.73
273,0.82
988,0.99
138,1.0
489,0.99
259,0.83
383,0.8
267,0.83
1431,0.97
198,1.0
434,0.78
368,0.8
294,0.82
1289,0.98
551,0.75
328,1.0
852,0.64
475,0.77
163,1.0
363,0.8
170,1.0
313,0.81
254,1.0
673,0.71
396,0.79
504,0.99
558,0.74
556,0.99
611,0.99
567,0.74
515,0.76
463,0.99
157,1.0
167,0.85
611,0.99
508,0.99
726,0.99
444,0.78
60,0.87
434,0.78
713,0.69
653,0.99
833,0.65
507,0.99
772,0.99
314,1.0
110,1.0
276,1.0
328,1.0
341,1.0
385,1.0
583,0.99
157,0.85
202,1.0
363,0.8
157,1.0
978,0.99
138,0.85
229,0.83
490,0.99
344,0.81
401,1.0
206,0.84
202,1.0
347,1.0
544,0.99
422,1.0
157,0.85
1065,0.56
82,0.87
1070,0.99
290,0.82
289,1.0
596,0.99
166,1.0
581,0.74
510,0.76
243,0.83
265,1.0
220,0.84
416,1.0
202,1.0
350,0.8
908,0.99
356,0.8
331,1.0
1635,0.33
556,0.75
396,1.0
347,1.0
287,1.0
247,0.83
365,0.8
456,0.99
214,1.0
596,0.99
333,0.81
352,0.8
590,0.73
356,1.0
199,0.84
278,1.0
197,0.84
324,1.0
480,0.77
596,0.99
573,0.99
84,0.87
425,0.99
485,0.99
287,1.0
186,1.0
266,1.0
239,0.83
293,1.0
157,0.85
293,0.82
369,0.8
290,0.82
337,0.81
178,0.85
315,0.81
211,0.84
494,0.99
193,1.0
611,0.73
337,0.81
1176,0.51
707,0.69
1871,0.95
557,0.99
501,0.99
345,0.81
360,1.0
1380,0.98
366,1.0
532,0.75
364,0.8
138,1.0
586,0.99
674,0.99
157,0.85
163,1.0
397,1.0
258,1.0
439,0.99
698,0.99
247,0.83
1098,0.98
1021,0.99
157,1.0
1311,0.45
345,1.0
732,0.69
523,0.99
