ga_response,ga_survival
252,0.83
157,0.85
221,1.0
186,0.84
351,1.0
332,1.0
247,0.83
345,1.0
879,0.63
388,1.0
979,0.99
234,0.83
1089,0.99
195,0.84
363,1.0
1121,0.98
219,1.0
512,0.76
677,0.99
571,0.99
309,0.82
157,0.85
360,0.8
491,0.77
278,0.82
139,0.85
328,0.81
834,0.99
324,0.81
1019,0.99
313,1.0
596,0.73
308,0.82
228,0.83
573,0.99
323,0.81
139,0.85
214,0.84
290,0.82
289,0.82
459,0.99
202,0.84
363,1.0
350,0.8
779,0.99
265,0.83
287,1.0
185,0.84
1351,0.44
739,0.99
341,0.81
253,0.83
414,1.0
245,0.83
289,1.0
342,1.0
191,1.0
1161,0.52
139,0.85
401,0.79
343,1.0
247,1.0
1526,0.97
413,1.0
174,1.0
256,1.0
700,0.99
363,0.8
829,0.99
138,0.85
1231,0.49
525,0.75
342,1.0
723,0.69
374,1.0
244,0.83
436,0.78
82,0.87
163,1.0
350,1.0
190,0.84
1122,0.53
732,0.99
442,0.99
247,0.83
2142,0.92
694,0.99
339,0.81
531,0.99
557,0.74
482,0.99
1603,0.97
1001,0.99
237,1.0
1064,0.56
333,0.81
258,1.0
269,1.0
128,0.86
245,0.83
157,1.0
360,1.0
481,0.99
182,0.85
648,0.99
298,0.82
218,0.84
368,0.8
416,1.0
358,1.0
652,0.99
705,0.99
198,0.84
167,1.0
420,0.79
988,0.99
138,1.0
380,0.8
245,0.83
830,0.99
231,1.0
157,1.0
247,1.0
314,1.0
198,0.84
138,1.0
414,0.79
207,1.0
157,0.85
458,0.99
410,1.0
481,0.99
935,0.99
436,0.99
228,1.0
242,0.83
416,0.79
190,0.84
648,0.99
1498,0.38
361,0.8
322,1.0
324,1.0
708,0.99
275,0.82
157,0.85
340,0.81
214,0.84
450,0.78
575,0.99
723,0.99
250,0.83
522,0.76
192,0.84
1170,0.98
1159,0.98
157,0.85
476,0.77
638,0.99
534,0.75
163,0.85
591,0.99
303,0.82
1847,0.95
229,0.83
191,0.84
157,1.0
204,0.84
157,1.0
590,0.73
596,0.73
548,0.99
603,0.73
550,0.99
190,0.84
214,0.84
510,0.99
266,0.83
1379,0.98
502,0.76
321,1.0
368,1.0
324,0.81
1140,0.98
264,0.83
198,0.84
394,1.0
587,0.74
321,1.0
480,0.77
157,1.0
596,0.73
1471,0.97
501,0.99
357,0.8
138,1.0
639,0.99
259,0.83
383,0.8
139,0.85
1431,0.97
198,1.0
157,0.85
331,0.81
294,0.82
410,0.79
1289,0.98
328,1.0
852,0.64
563,0.74
402,1.0
363,0.8
214,1.0
313,0.81
248,1.0
555,0.75
396,0.79
441,0.99
264,1.0
647,0.72
611,0.99
435,0.78
256,0.83
624,0.99
167,0.85
611,0.99
783,0.99
818,0.99
726,0.99
444,0.78
434,0.78
422,0.79
698,0.7
190,0.84
561,0.99
236,1.0
514,0.99
862,0.99
110,1.0
276,1.0
194,1.0
341,1.0
467,0.99
599,0.99
157,0.85
270,0.82
523,0.99
313,1.0
202,1.0
138,0.85
204,0.84
313,1.0
490,0.99
344,0.81
206,0.84
202,1.0
247,1.0
422,1.0
758,0.99
313,0.81
1065,0.56
82,0.87
835,0.99
60,1.0
290,0.82
278,0.82
424,0.78
328,1.0
886,0.99
243,0.83
265,1.0
220,0.84
350,1.0
484,0.99
350,0.8
908,0.99
356,0.8
1635,0.33
812,0.99
291,0.82
139,1.0
247,1.0
287,1.0
247,0.83
365,0.8
886,0.99
214,1.0
596,0.99
333,0.81
352,0.8
590,0.73
356,1.0
199,0.84
278,1.0
197,0.84
60,1.0
480,0.77
596,0.99
489,0.99
360,1.0
793,0.66
485,0.99
287,1.0
186,1.0
266,1.0
239,0.83
443,0.99
157,0.85
293,0.82
369,0.8
290,0.82
337,0.81
178,0.85
315,0.81
552,0.99
193,1.0
448,0.78
611,0.73
337,0.81
1176,0.51
707,0.69
1871,0.95
343,1.0
416,1.0
345,0.81
360,1.0
1380,0.98
265,1.0
532,0.75
364,0.8
138,1.0
586,0.99
674,0.99
157,0.85
474,0.99
258,1.0
347,1.0
802,0.99
630,0.99
698,0.99
247,0.83
1082,0.99
157,1.0
1311,0.45
345,1.0
732,0.69
552,0.99
256,0.83
178,0.85
360,0.8
163,1.0
365,0.8
165,1.0
147,0.85
270,1.0
684,0.99
224,0.84
288,1.0
157,1.0
690,0.99
1767,0.95
416,0.79
462,0.99
132,0.86
2587,0.09
245,0.83
397,1.0
343,0.81
360,1.0
823,0.99
427,0.99
108,0.86
273,0.82
186,1.0
444,0.99
133,1.0
383,0.8
484,0.77
228,0.83
368,1.0
176,0.85
191,0.84
157,0.85
386,1.0
1373,0.98
395,1.0
594,0.73
706,0.69
185,0.84
304,0.82
337,0.81
193,1.0
441,0.99
522,0.99
60,0.87
340,0.81
389,0.79
1662,0.32
362,1.0
447,0.99
457,0.99
748,0.68
287,1.0
511,0.76
345,1.0
290,0.82
410,0.79
883,0.99
512,0.99
602,0.73
391,1.0
379,0.8
808,0.99
1255,0.98
153,1.0
598,0.73
388,0.79
454,0.78
324,0.81
327,1.0
157,0.85
428,0.78
174,0.85
400,0.79
264,0.83
2218,0.91
450,0.99
157,0.85
323,1.0
489,0.99
392,0.79
248,0.83
157,0.85
202,0.84
522,0.99
685,0.99
552,0.99
247,0.83
265,1.0
1055,0.99
1847,0.25
491,0.99
313,1.0
1032,0.99
1639,0.32
264,0.83
1437,0.4
1268,0.47
932,0.99
438,0.78
376,1.0
330,0.81
572,0.99
413,1.0
406,1.0
2290,0.9
128,1.0
443,0.78
472,0.99
364,1.0
402,1.0
434,0.99
157,0.85
289,1.0
333,0.81
551,0.99
629,0.99
531,0.75
264,0.83
286,1.0
674,0.99
572,0.74
591,0.73
1115,0.98
313,1.0
252,1.0
477,0.99
214,0.84
224,0.84
432,0.99
323,0.81
265,0.83
1494,0.97
594,0.73
202,0.84
458,0.99
241,0.83
157,0.85
328,1.0
685,0.99
424,1.0
540,0.75
225,1.0
732,0.69
323,0.81
1878,0.95
131,0.86
602,0.99
669,0.99
220,0.84
174,1.0
839,0.99
858,0.64
345,1.0
571,0.99
323,0.81
773,0.67
139,1.0
204,0.84
996,0.58
139,0.85
397,1.0
345,0.81
209,0.84
244,1.0
556,0.99
341,1.0
306,1.0
719,0.69
564,0.99
1086,0.99
1089,0.55
204,0.84
204,0.84
322,0.81
267,1.0
352,0.8
382,0.8
266,1.0
313,1.0
1045,0.56
1306,0.98
512,0.76
581,0.99
346,0.81
484,0.99
611,0.99
463,0.99
287,0.82
199,0.84
157,0.85
224,1.0
553,0.99
313,1.0
347,1.0
133,0.86
338,0.81
198,0.84
244,0.83
564,0.99
368,1.0
1113,0.54
612,0.99
477,0.77
202,1.0
157,0.85
328,0.81
138,0.85
829,0.99
252,1.0
629,0.72
265,1.0
129,1.0
393,1.0
337,1.0
313,1.0
190,0.84
256,0.83
157,1.0
222,1.0
157,1.0
406,1.0
214,0.84
491,0.99
484,0.99
